,LOCAL_DATE,MEAN_TEMPERATURE_MONTREAL,TOTAL_PRECIPITATION_MONTREAL
21915,1/1/2000 0:00,-4.7,0
21916,1/2/2000 0:00,-0.2,5
21917,1/3/2000 0:00,1.4,0.4
21918,1/4/2000 0:00,0.8,10.2
21919,1/5/2000 0:00,-9.2,0
21920,1/6/2000 0:00,-6.2,0
21921,1/7/2000 0:00,-2.8,6
21922,1/8/2000 0:00,-6.8,0
21923,1/9/2000 0:00,0.3,0
21924,1/10/2000 0:00,2.6,35.8
21925,1/11/2000 0:00,2.6,1.2
21926,1/12/2000 0:00,-6.2,0
21927,1/13/2000 0:00,-15.5,0
21928,1/14/2000 0:00,-18.3,0
21929,1/15/2000 0:00,-15.1,0
21930,1/16/2000 0:00,-12.4,12.6
21931,1/17/2000 0:00,-22.2,0
21932,1/18/2000 0:00,-22.2,0
21933,1/19/2000 0:00,-18.5,0
21934,1/20/2000 0:00,-14.4,2.2
21935,1/21/2000 0:00,-18.3,0
21936,1/22/2000 0:00,-22.1,0
21937,1/23/2000 0:00,-18.6,0.4
21938,1/24/2000 0:00,-9.3,0.2
21939,1/25/2000 0:00,-10.9,4.2
21940,1/26/2000 0:00,-9.4,7.6
21941,1/27/2000 0:00,-15.9,0
21942,1/28/2000 0:00,-15.8,0.2
21943,1/29/2000 0:00,-13.2,0
21944,1/30/2000 0:00,-8.2,0.6
21945,1/31/2000 0:00,-3.7,9.2
21946,2/1/2000 0:00,-7.1,0.7
21947,2/2/2000 0:00,-14.3,0.6
21948,2/3/2000 0:00,-15.5,0
21949,2/4/2000 0:00,-15,0
21950,2/5/2000 0:00,-11.5,0.8
21951,2/6/2000 0:00,-8.7,0
21952,2/7/2000 0:00,-9.8,0
21953,2/8/2000 0:00,-12.9,0
21954,2/9/2000 0:00,-4.2,5.2
21955,2/10/2000 0:00,-12.2,8.8
21956,2/11/2000 0:00,-9.4,9.8
21957,2/12/2000 0:00,-16.1,0
21958,2/13/2000 0:00,-14.2,4.1
21959,2/14/2000 0:00,-6.1,20.4
21960,2/15/2000 0:00,-6.2,0
21961,2/16/2000 0:00,-5.8,14.2
21962,2/17/2000 0:00,-16.2,0
21963,2/18/2000 0:00,-13.9,0
21964,2/19/2000 0:00,-8.6,0
21965,2/20/2000 0:00,-8,0.2
21966,2/21/2000 0:00,-7.9,0
21967,2/22/2000 0:00,-3.5,0
21968,2/23/2000 0:00,3.1,0
21969,2/24/2000 0:00,3.9,0.8
21970,2/25/2000 0:00,1.3,0
21971,2/26/2000 0:00,4.5,0
21972,2/27/2000 0:00,7.2,6.4
21973,2/28/2000 0:00,3.2,1
21974,2/29/2000 0:00,0.5,0
21975,3/1/2000 0:00,2.1,3.4
21976,3/2/2000 0:00,2,0
21977,3/3/2000 0:00,-1,3.2
21978,3/4/2000 0:00,-0.8,0
21979,3/5/2000 0:00,1.6,1.5
21980,3/6/2000 0:00,0.6,0
21981,3/7/2000 0:00,2.8,0
21982,3/8/2000 0:00,5.2,0
21983,3/9/2000 0:00,6.3,3.7
21984,3/10/2000 0:00,-6.7,0
21985,3/11/2000 0:00,-3.6,4.8
21986,3/12/2000 0:00,-3,11.6
21987,3/13/2000 0:00,-8.5,0
21988,3/14/2000 0:00,-2.3,3.6
21989,3/15/2000 0:00,2.5,5.1
21990,3/16/2000 0:00,0.9,8.5
21991,3/17/2000 0:00,-5.9,0
21992,3/18/2000 0:00,-6.6,0
21993,3/19/2000 0:00,-0.1,0
21994,3/20/2000 0:00,4.4,0
21995,3/21/2000 0:00,4.6,0
21996,3/22/2000 0:00,6.6,0
21997,3/23/2000 0:00,8.5,0
21998,3/24/2000 0:00,6.2,0
21999,3/25/2000 0:00,7.1,3.2
22000,3/26/2000 0:00,4.8,0
22001,3/27/2000 0:00,5.9,0.6
22002,3/28/2000 0:00,6.1,15.2
22003,3/29/2000 0:00,3.4,4.8
22004,3/30/2000 0:00,3.5,0.6
