dt,LandAverageTemperature,LandAverageTemperatureUncertainty,LandMaxTemperature,LandMaxTemperatureUncertainty,LandMinTemperature,LandMinTemperatureUncertainty
1900-01-01,1.461,0.276,7.193,0.465,-4.102,0.395
1900-02-01,3.0980000000000003,0.416,9.181,0.604,-2.814,0.626
1900-03-01,5.492000000000001,0.261,11.377,0.327,-0.68,0.61
1900-04-01,8.222999999999999,0.292,13.972,0.342,2.131,0.394
1900-05-01,11.385,0.357,17.415000000000006,0.329,5.178999999999999,0.379
1900-06-01,13.293,0.282,19.434,0.443,7.112,0.288
1900-07-01,14.171,0.345,19.897,0.3720000000000001,8.095,0.311
1900-08-01,13.816,0.383,19.85,0.343,7.891999999999999,0.377
1900-09-01,11.955,0.293,17.817999999999998,0.382,5.9670000000000005,0.337
1900-10-01,9.666,0.255,15.544,0.275,3.833,0.318
1900-11-01,5.803999999999999,0.276,11.527,0.454,0.121,0.409
1900-12-01,3.655,0.341,9.466,0.315,-1.826,0.431
1901-01-01,2.1910000000000003,0.291,7.995999999999999,0.604,-3.491,0.49
1901-02-01,3.092,0.418,9.038,0.371,-2.678,0.539
1901-03-01,5.671,0.251,11.476,0.37,-0.644,0.395
1901-04-01,8.522,0.326,14.733,0.368,2.264,0.376
1901-05-01,11.178,0.339,17.315,0.397,4.855,0.39
1901-06-01,13.423,0.283,19.315,0.386,7.151000000000002,0.3670000000000001
1901-07-01,14.339,0.35,20.34,0.43,8.161,0.374
1901-08-01,13.789,0.343,19.898,0.398,7.659999999999998,0.411
1901-09-01,11.984000000000002,0.305,17.929000000000006,0.464,5.819,0.322
1901-10-01,9.003,0.239,15.002,0.368,2.998,0.338
1901-11-01,5.976,0.263,12.043,0.55,0.0709999999999999,0.398
1901-12-01,3.335,0.267,9.061,0.672,-2.28,0.37
1902-01-01,2.684,0.256,8.796999999999997,0.569,-3.031,0.369
1902-02-01,3.606,0.354,9.814,0.341,-2.504,0.452
1902-03-01,4.883,0.228,11.166,0.439,-1.339,0.294
1902-04-01,7.955999999999999,0.321,13.884,0.357,1.5619999999999998,0.358
1902-05-01,10.893,0.341,16.986,0.536,4.5870000000000015,0.369
1902-06-01,13.214,0.264,19.338,0.475,6.894,0.32
1902-07-01,14.231,0.356,20.2,0.536,7.965,0.339
1902-08-01,13.599,0.357,19.884,0.297,7.449,0.354
1902-09-01,11.799,0.289,17.897000000000006,0.299,5.555,0.3720000000000001
1902-10-01,8.801,0.21,14.811,0.271,2.759,0.347
1902-11-01,5.274,0.267,11.159,0.335,-0.46,0.327
1902-12-01,2.713,0.27,8.435,0.277,-2.992,0.373
1903-01-01,2.514,0.224,8.415,0.442,-3.1870000000000003,0.403
1903-02-01,3.555,0.247,9.297,0.429,-2.49,0.494
1903-03-01,4.93,0.212,10.963,0.294,-1.158,0.412
1903-04-01,7.831999999999999,0.292,13.958,0.32,1.6980000000000002,0.392
1903-05-01,10.794,0.305,16.672,0.398,4.5870000000000015,0.435
1903-06-01,12.886,0.268,18.897,0.381,6.723000000000001,0.296
1903-07-01,13.992,0.366,19.787,0.452,7.87,0.364
1903-08-01,13.412,0.377,19.298,0.365,7.557999999999999,0.366
1903-09-01,11.501,0.36,17.355999999999998,0.461,5.642,0.285
1903-10-01,8.812000000000001,0.202,14.634,0.417,2.895,0.371
1903-11-01,5.516,0.268,11.219,0.391,-0.0509999999999999,0.34
1903-12-01,2.898,0.359,8.533,0.327,-2.6870000000000003,0.381
1904-01-01,1.6369999999999998,0.387,7.081999999999999,0.516,-3.86,0.398
1904-02-01,2.297,0.348,8.507,0.405,-3.583,0.4320000000000001
1904-03-01,4.506,0.268,10.559,0.555,-1.575,0.302
1904-04-01,7.683999999999998,0.284,13.823,0.625,1.4280000000000002,0.299
1904-05-01,10.84,0.287,16.922,0.516,4.641,0.313
1904-06-01,13.014,0.248,19.092,0.532,6.7780000000000005,0.298
1904-07-01,13.836,0.296,19.678,0.647,7.777,0.34
1904-08-01,13.459,0.327,19.525,0.451,7.462000000000001,0.321
1904-09-01,11.380999999999998,0.265,17.465000000000003,0.392,5.361000000000001,0.253
1904-10-01,8.833,0.212,14.902,0.601,3.133,0.314
1904-11-01,6.23,0.224,11.997,0.3,0.5579999999999999,0.337
1904-12-01,3.374,0.291,9.212,0.46,-2.067,0.446
1905-01-01,2.254,0.345,8.017000000000001,0.478,-3.3240000000000003,0.373
1905-02-01,1.927,0.303,7.7349999999999985,0.28,-3.951,0.411
1905-03-01,4.635,0.235,10.466,0.515,-1.308,0.38
1905-04-01,7.754999999999999,0.255,13.622,0.341,1.493,0.417
1905-05-01,10.982,0.28,16.945999999999998,0.38,4.819000000000001,0.451
1905-06-01,13.112,0.264,19.11,0.379,6.944000000000001,0.341
1905-07-01,14.077,0.307,19.877,0.441,8.038,0.342
1905-08-01,13.578,0.327,19.619,0.368,7.719999999999999,0.345
1905-09-01,11.803999999999998,0.252,17.684,0.363,5.928,0.311
1905-10-01,9.041,0.239,14.866,0.275,3.117,0.385
1905-11-01,6.183,0.282,11.984000000000002,0.28,0.574,0.403
1905-12-01,3.354,0.256,9.06,0.334,-1.931,0.3720000000000001
1906-01-01,2.068,0.313,8.086,0.42,-3.637000000000001,0.294
1906-02-01,2.301,0.3229999999999999,8.125,0.393,-3.343,0.344
1906-03-01,4.8660000000000005,0.2,11.008,0.264,-1.229,0.353
1906-04-01,8.626,0.242,14.786,0.581,2.422,0.383
1906-05-01,11.239999999999998,0.29,17.146,0.4370000000000001,4.9220000000000015,0.426
1906-06-01,13.334,0.289,19.287,0.3229999999999999,7.275,0.321
1906-07-01,14.122,0.3229999999999999,20.058,0.391,8.186,0.345
1906-08-01,13.691,0.34,19.539,0.462,7.842999999999999,0.358
1906-09-01,11.771999999999998,0.237,17.522000000000002,0.298,5.884,0.338
1906-10-01,9.267,0.182,14.943,0.254,3.479,0.299
1906-11-01,5.501,0.192,11.17,0.327,-0.3009999999999999,0.322
1906-12-01,3.761,0.368,9.258,0.458,-1.664,0.3229999999999999
1907-01-01,1.798,0.274,7.903,0.38,-3.867,0.324
1907-02-01,2.117,0.268,7.9929999999999986,0.383,-3.603,0.285
1907-03-01,4.575,0.209,10.61,0.352,-1.6,0.249
1907-04-01,7.579,0.263,13.401,0.37,1.521,0.281
1907-05-01,10.375,0.28,16.335,0.465,4.0840000000000005,0.35
1907-06-01,12.729,0.267,18.576,0.403,6.509,0.316
1907-07-01,13.769,0.307,19.626,0.598,7.761,0.348
1907-08-01,13.362,0.326,19.187,0.318,7.464999999999999,0.35
1907-09-01,11.665,0.243,17.442999999999998,0.253,5.59,0.299
1907-10-01,9.234,0.191,15.079,0.283,3.32,0.361
1907-11-01,5.207000000000001,0.207,10.71,0.31,-0.5570000000000002,0.325
1907-12-01,2.9560000000000004,0.251,8.831,0.27,-2.585,0.288
1908-01-01,2.3040000000000003,0.252,8.117999999999999,0.3,-3.548,0.287
1908-02-01,2.769,0.269,8.527000000000001,0.411,-3.177,0.348
1908-03-01,4.136,0.317,10.384,0.38,-2.101,0.453
1908-04-01,7.831999999999999,0.295,13.853,0.332,1.735,0.5429999999999999
1908-05-01,11.140999999999998,0.285,16.958000000000002,0.388,4.86,0.388
1908-06-01,13.293,0.248,19.063,0.388,6.902,0.29
1908-07-01,14.197,0.303,19.748,0.419,8.113,0.37
1908-08-01,13.376,0.336,19.359,0.363,7.499,0.346
1908-09-01,11.977,0.252,17.781000000000006,0.325,5.977,0.261
1908-10-01,8.865,0.209,14.675,0.29,2.948,0.329
1908-11-01,5.272,0.221,11.098,0.296,-0.5760000000000001,0.451
1908-12-01,3.071,0.31,8.901,0.332,-2.535,0.368
1909-01-01,1.395,0.314,7.121,0.377,-4.298,0.449
1909-02-01,2.7060000000000004,0.273,8.571,0.465,-3.447,0.357
1909-03-01,4.589,0.249,10.659,0.472,-1.6769999999999998,0.478
1909-04-01,7.534,0.269,13.425999999999998,0.414,1.395,0.42
1909-05-01,10.611,0.3,16.668000000000006,0.428,4.380000000000001,0.394
