,dt,LandAverageTemperature,LandAverageTemperatureUncertainty,LandMaxTemperature,LandMaxTemperatureUncertainty,LandMinTemperature,LandMinTemperatureUncertainty,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty
3000,2000-01-01,2.95,0.091,8.349,0.103,-2.322,0.072,13.773,0.064
3001,2000-02-01,4.184,0.093,9.863,0.096,-1.371,0.092,14.265999999999998,0.065
3002,2000-03-01,6.218999999999999,0.12,12.204999999999998,0.133,0.3759999999999999,0.0819999999999999,14.845999999999998,0.069
3003,2000-04-01,9.552,0.075,15.534,0.156,3.68,0.153,15.762,0.062
3004,2000-05-01,11.874,0.064,17.721,0.127,5.997000000000001,0.2,16.395,0.061
3005,2000-06-01,14.06,0.1,19.847,0.206,8.243,0.161,17.0,0.067
3006,2000-07-01,14.848,0.12,20.665,0.107,9.098,0.098,17.242,0.066
3007,2000-08-01,14.519,0.086,20.308,0.095,8.796,0.152,17.243000000000002,0.063
3008,2000-09-01,12.547,0.058,18.373,0.115,6.822,0.142,16.613,0.061
3009,2000-10-01,9.486,0.047,15.069,0.134,4.0,0.097,15.588,0.06
3010,2000-11-01,6.312,0.084,11.67,0.092,0.996,0.064,14.632,0.062
3011,2000-12-01,3.863,0.064,9.182,0.108,-1.3330000000000002,0.072,13.968,0.062
3012,2001-01-01,3.3360000000000003,0.077,8.827,0.088,-2.0780000000000003,0.06,13.936,0.063
3013,2001-02-01,3.72,0.109,9.486,0.059,-1.997,0.091,14.179,0.067
3014,2001-03-01,6.207999999999999,0.058,12.130999999999998,0.094,0.4109999999999999,0.117,14.982,0.062
3015,2001-04-01,9.245,0.098,15.174,0.118,3.234,0.155,15.808,0.066
3016,2001-05-01,12.271,0.105,18.185,0.13,6.3500000000000005,0.107,16.569000000000003,0.066
3017,2001-06-01,14.11,0.085,19.962,0.133,8.218,0.134,17.151,0.063
3018,2001-07-01,15.161,0.101,20.923,0.104,9.428,0.149,17.45,0.065
3019,2001-08-01,14.427,0.115,20.332,0.103,8.664,0.178,17.294,0.068
3020,2001-09-01,12.736,0.087,18.581000000000003,0.114,7.07,0.17,16.758,0.065
3021,2001-10-01,9.935,0.073,15.578,0.101,4.353,0.109,15.831,0.064
3022,2001-11-01,7.319,0.086,12.89,0.093,1.92,0.0819999999999999,15.011,0.064
3023,2001-12-01,4.507,0.055,9.841,0.108,-0.685,0.089,14.241,0.062
3024,2002-01-01,4.026,0.065,9.459,0.123,-1.3219999999999998,0.089,14.258,0.062
3025,2002-02-01,4.704,0.078,10.435,0.104,-0.9480000000000002,0.058,14.505,0.065
3026,2002-03-01,6.772,0.034,12.775,0.083,0.8940000000000001,0.113,15.198,0.064
3027,2002-04-01,9.229,0.049,15.146,0.099,3.3080000000000003,0.152,15.818,0.062
3028,2002-05-01,12.248,0.081,18.157,0.17,6.199000000000002,0.197,16.605,0.062
3029,2002-06-01,14.084,0.052,19.912,0.143,8.184000000000001,0.151,17.110000000000007,0.06
3030,2002-07-01,15.354,0.077,21.199,0.075,9.409,0.096,17.487000000000002,0.062
3031,2002-08-01,14.56,0.067,20.444000000000003,0.136,8.806999999999997,0.136,17.328,0.061
3032,2002-09-01,12.95,0.103,18.785,0.129,7.16,0.083,16.799,0.065
3033,2002-10-01,9.988,0.079,15.599,0.166,4.484,0.15,15.859000000000002,0.062
3034,2002-11-01,6.892,0.12,12.48,0.142,1.389,0.136,14.856,0.067
3035,2002-12-01,4.038,0.064,9.357,0.119,-1.189,0.045,14.127,0.063
3036,2003-01-01,3.981,0.07,9.558,0.119,-1.481,0.091,14.207,0.064
3037,2003-02-01,4.085,0.097,9.749,0.088,-1.4800000000000002,0.111,14.359000000000002,0.065
3038,2003-03-01,6.047999999999999,0.055,11.972,0.077,0.215,0.127,14.973,0.062
3039,2003-04-01,9.154,0.074,15.033,0.105,3.209,0.122,15.774,0.063
3040,2003-05-01,12.153,0.095,18.118,0.136,6.207999999999999,0.162,16.567,0.063
3041,2003-06-01,14.017,0.135,19.77,0.12,8.222000000000001,0.146,17.104000000000006,0.068
3042,2003-07-01,14.983,0.184,20.757,0.117,9.223,0.154,17.423000000000002,0.078
3043,2003-08-01,14.691,0.089,20.48,0.084,8.974,0.119,17.402,0.063
3044,2003-09-01,12.911,0.067,18.692,0.181,7.221,0.18,16.839000000000002,0.06
3045,2003-10-01,10.424,0.085,16.115,0.116,4.74,0.094,15.997,0.063
3046,2003-11-01,6.727,0.075,12.203,0.134,1.347,0.117,14.838,0.061
3047,2003-12-01,5.132999999999999,0.062,10.545,0.088,-0.179,0.091,14.436,0.062
3048,2004-01-01,3.5250000000000004,0.062,8.901,0.109,-1.65,0.097,14.097,0.059
3049,2004-02-01,4.4990000000000006,0.104,10.171,0.085,-1.1820000000000002,0.075,14.488,0.065
